status,error_message,backend,sweep_name,model_name,prompt_file,prompt_target_tokens,batch_size_requested,concurrency,max_new_tokens,num_prompts,num_http_requests,num_requests,prompt_tokens,generated_tokens,total_tokens,total_time_sec,avg_http_latency_sec,tokens_per_sec,generated_tokens_per_sec,requests_per_sec,http_requests_per_sec
ok,,vllm_openai_server,sequence_sweep,meta-llama/Llama-2-7b-chat-hf,prompts_128.jsonl,128,1,1,128,100,100,100,14513,12900,27413,127.11530340788886,1.2710860578354914,215.6546007056042,101.48266695007092,0.7866873406982242,0.7866873406982242
ok,,vllm_openai_server,sequence_sweep,meta-llama/Llama-2-7b-chat-hf,prompts_256.jsonl,256,1,1,256,100,100,100,29824,25700,55524,253.6578598760534,2.536518818477634,218.89327627037093,101.31757798697019,0.39423182096097353,0.39423182096097353
ok,,vllm_openai_server,sequence_sweep,meta-llama/Llama-2-7b-chat-hf,prompts_512.jsonl,512,1,1,512,100,100,100,57545,51300,108845,511.21965135098435,5.112128054479836,212.91239433452662,100.3482551275779,0.19561063377695495,0.19561063377695495
ok,,vllm_openai_server,sequence_sweep,meta-llama/Llama-2-7b-chat-hf,prompts_1024.jsonl,1024,1,1,1024,100,100,100,111975,94995,206970,964.2628185600042,9.642557511364576,214.6406519221405,98.51567246143759,0.10370616607341185,0.10370616607341185
failed,"RuntimeError('vLLM request failed with status 400: {""object"":""error"",""message"":""This model\'s maximum context length is 4096 tokens. However, you requested 4190 tokens (2142 in the messages, 2048 in the completion). Please reduce the length of the messages or completion."",""type"":""BadRequestError"",""param"":null,""code"":400}')",vllm_openai_server,sequence_sweep,meta-llama/Llama-2-7b-chat-hf,prompts_2048.jsonl,2048,1,1,2048,100,100,0,0,0,0,0.09157987893559039,0.0,0.0,0.0,0.0,0.0
ok,,vllm_openai_server,sequence_sweep,meta-llama/Llama-2-7b-chat-hf,prompts_128.jsonl,128,1,1,128,100,100,100,14513,12900,27413,125.25731209199876,1.2520958288293331,218.8534908035209,102.98799953910262,0.7983565855744389,0.7983565855744389
ok,,vllm_openai_server,sequence_sweep,meta-llama/Llama-2-7b-chat-hf,prompts_256.jsonl,256,1,1,256,100,100,100,29824,25700,55524,250.7554613277316,2.5065908517176285,221.42688221426775,102.49029019715225,0.39879490349086477,0.39879490349086477
ok,,vllm_openai_server,sequence_sweep,meta-llama/Llama-2-7b-chat-hf,prompts_512.jsonl,512,1,1,512,100,100,100,57545,51300,108845,536.1363183371723,5.359924429054372,203.01739739919682,95.68462020835865,0.18651972750167378,0.18651972750167378
ok,,vllm_openai_server,sequence_sweep,meta-llama/Llama-2-7b-chat-hf,prompts_1024.jsonl,1024,1,1,1024,100,100,100,111975,94995,206970,956.6253428789787,9.563257802366278,216.35429328802914,99.3021988254159,0.10453413213897142,0.10453413213897142
ok,,vllm_openai_server,sequence_sweep,meta-llama/Llama-2-7b-chat-hf,prompts_2048.jsonl,2048,1,1,2048,100,100,100,221374,165845,387219,1743.9189963280223,17.43333845378831,222.0395562037711,95.09902716192754,0.057342112913821665,0.057342112913821665
